nom,circonscription,nuance,etiquette,sortant,d_naissance,age,mandats,profession,photo,lien,ordre,nombis
Aurélien Michel,1309,SE,SE,non,28/02/1982,40,Pas d'autre mandat connu,Policier et militaire,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Aurélien Michel
Rebia Benarioua,1309,SE,SE,non,30/01/1953,69,Pas d'autre mandat connu,Ancien cadre,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Rebia Benarioua
Hélène Knezevic,1309,SE,SE,non,06/05/1969,53,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Hélène Knezevic
Amélie Bregeon,1309,SE,SE,non,02/09/1985,36,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Amélie Bregeon
Patrice Daude,1310,SE,SE,non,19/10/1972,49,Pas d'autre mandat connu,Technicien,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Patrice Daude
Magali Gozzi,1310,SE,SE,non,24/05/1974,48,Pas d'autre mandat connu,Cadre de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Magali Gozzi
Stéphanie Brun,1310,SE,SE,non,06/03/1972,50,Pas d'autre mandat connu,Ancien employé,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Stéphanie Brun
Nathalie Coutenet,1310,SE,SE,non,19/06/1967,54,Pas d'autre mandat connu,Profession intermédiaire administrative de la fonction publique,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Nathalie Coutenet
Robert Marti,1310,SE,SE,non,31/05/1951,70,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Robert Marti
Lucie Desblancs,1310,SE,SE,non,28/10/1963,58,Pas d'autre mandat connu,Profession libérale,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Lucie Desblancs
Hervé Liberman,1311,SE,LR,non,10/04/1961,61,Pas d'autre mandat connu,Cadre administratif et commercial d'entreprise,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Hervé Liberman
Rodolphe Brun,1311,SE,SE,non,28/12/1975,46,Pas d'autre mandat connu,Technicien,https://drive.google.com/file/d/1T-TAPb05EeN9P39s8O3ZFwKDBSkU0hx5/view?usp=sharing,,,Rodolphe Brun
