Monument,Adresse,Longitude,Latitude,Source
Immeuble,"19 place du Colonel-Fabien
",48.695622,6.179162,https://www.pop.culture.gouv.fr/notice/merimee//PA00106186
Maison,"24 rue Félix-Faure
",48.678219,6.16594,https://www.pop.culture.gouv.fr/notice/merimee//PA00132631
Maison,"25 rue Félix-Faure
",48.678037,6.166077,https://www.pop.culture.gouv.fr/notice/merimee//PA00132632
Maison,"26 rue Félix-Faure
",48.678192,6.165853,https://www.pop.culture.gouv.fr/notice/merimee//PA00132633
Maison,"28 rue Félix-Faure
",48.67817,6.165782,https://www.pop.culture.gouv.fr/notice/merimee//PA00132634
Maison,"30 rue Félix-Faure
",48.678149,6.165711,https://www.pop.culture.gouv.fr/notice/merimee//PA00132635
Maison Docteur Paul Jacques,"41 avenue Foch37 rue Jeanne-d'Arc
",48.6875,6.1709,https://www.pop.culture.gouv.fr/notice/merimee//PA00106192
Maison Loppinet,"45 avenue Foch
",48.687384,6.170422,https://www.pop.culture.gouv.fr/notice/merimee//PA00106193
Immeuble Lombard,"69 avenue Foch
",48.686536,6.168008,https://www.pop.culture.gouv.fr/notice/merimee//PA00106194
Immeuble France-Lanord,"71 avenue Foch
",48.686438,6.167893,https://www.pop.culture.gouv.fr/notice/merimee//PA00106195
Immeuble,"5 rue du Four
",48.687495,6.183908,https://www.pop.culture.gouv.fr/notice/merimee//PA00106196
Immeuble,"1 rue Girardetplace d'Alliance
",48.693381,6.186601,https://www.pop.culture.gouv.fr/notice/merimee//PA00106197
Immeuble,"2 rue Girardet
",48.693351,6.186408,https://www.pop.culture.gouv.fr/notice/merimee//PA00106198
Immeuble,"2 bis rue Girardet
",48.693381,6.186601,https://www.pop.culture.gouv.fr/notice/merimee//PA54000061
Immeuble,"3 rue Girardet
",48.693823,6.187218,https://www.pop.culture.gouv.fr/notice/merimee//PA54000062
Immeuble,"4 rue Girardet
",48.693446,6.186829,https://www.pop.culture.gouv.fr/notice/merimee//PA54000063
Immeuble,"6, 8, 10, 12, 14, 16, 18 rue Girardet
",48.693632,6.187454,https://www.pop.culture.gouv.fr/notice/merimee//PA00106199
Maison Medard Chuppin,"7 Grande-Rue
",48.694677,6.181499,https://www.pop.culture.gouv.fr/notice/merimee//PA00106200
Hotel Rogeville,"11 Grande-Rue
",48.694916,6.181416,https://www.pop.culture.gouv.fr/notice/merimee//PA00106201
Immeuble,"13 Grande-Rue
",48.695061,6.180998,https://www.pop.culture.gouv.fr/notice/merimee//PA00106202
Immeuble,"14 Grande-Rue
",48.694737,6.181577,https://www.pop.culture.gouv.fr/notice/merimee//PA00106203
Immeuble,"17 Grande-Rue
",48.695305,6.1811,https://www.pop.culture.gouv.fr/notice/merimee//PA00106204
Immeuble,"2 rue des États
",48.695495,6.18092,https://www.pop.culture.gouv.fr/notice/merimee//PA00106191
Hôtel de Rennel,"29 Grande-Rue
",48.695631,6.180797,https://www.pop.culture.gouv.fr/notice/merimee//PA00106205
Maison Vallees,"31 Grande-Rue
",48.695725,6.18084,https://www.pop.culture.gouv.fr/notice/merimee//PA00106206
Immeuble,"33 Grande-Rue
",48.695769,6.18081,https://www.pop.culture.gouv.fr/notice/merimee//PA00106207
Immeuble,"34 Grande-Rue
",48.695569,6.181118,https://www.pop.culture.gouv.fr/notice/merimee//PA00106208
Immeuble,"43 Grande-Rue
",48.696065,6.180333,https://www.pop.culture.gouv.fr/notice/merimee//PA00106209
Palais Ducs Lorraine,"64 Grande-Rue
",48.6969,6.1803,https://www.pop.culture.gouv.fr/notice/merimee//PA00106304
Eglise Cordeliers,"66 Grande-Rue
",48.6978,6.1794,https://www.pop.culture.gouv.fr/notice/merimee//PA00106105
Maison Boulet,"83 Grande-Rue
",48.696971,6.179211,https://www.pop.culture.gouv.fr/notice/merimee//PA00106210
Immeuble,"87 Grande-Rue
",48.697074,6.179228,https://www.pop.culture.gouv.fr/notice/merimee//PA00106211
Hotel Chastenoy,"92 Grande-Rue
",48.69838,6.178399,https://www.pop.culture.gouv.fr/notice/merimee//PA00106112
Pavillon Est Porte Craffe,"104bis Grande-Rue
",48.698779,6.178015,https://www.pop.culture.gouv.fr/notice/merimee//PA00106307
Pavillon Ouest Porte Craffe,"141 Grande-Rue
",48.698695,6.177819,https://www.pop.culture.gouv.fr/notice/merimee//PA00106308
Porte Craffe,"Grande-Rue
",48.6989,6.1778,https://www.pop.culture.gouv.fr/notice/merimee//PA00106313
Immeuble,"19 rue Grandville
",48.701,6.1793,https://www.pop.culture.gouv.fr/notice/merimee//PA54000077
Immeuble,"3 rue de l'Abbé-Gridel
",48.686357,6.161976,https://www.pop.culture.gouv.fr/notice/merimee//PA00106126
Immeuble,"5 rue de l'Abbé-Gridel
",48.686433,6.161922,https://www.pop.culture.gouv.fr/notice/merimee//PA00106127
Maison,"24 rue Pierre Gringoire
",48.695969,6.180346,https://www.pop.culture.gouv.fr/notice/merimee//PA00106296
Hotel Martigny,"2 rue de Guise
",48.697784,6.178447,https://www.pop.culture.gouv.fr/notice/merimee//PA00106122
Immeuble,"6 rue de Guise
",48.6976,6.1781,https://www.pop.culture.gouv.fr/notice/merimee//PA00106212
Immeuble,"10 rue de Guise
",48.697578,6.177506,https://www.pop.culture.gouv.fr/notice/merimee//PA00106213
Immeuble,"21 rue de Guise
",48.697233,6.177304,https://www.pop.culture.gouv.fr/notice/merimee//PA00106214
Immeuble,"25 rue de Guise
",48.697217,6.177079,https://www.pop.culture.gouv.fr/notice/merimee//PA00106215
Maison Jean Prouve,"6 rue Augustin-Hacquard
",48.700765,6.16149,https://www.pop.culture.gouv.fr/notice/merimee//PA00106294
Immeuble,"2 rue Albin-Haller
",48.695868,6.165079,https://www.pop.culture.gouv.fr/notice/merimee//PA00106128
Immeuble,"13 rue Héré
",48.694011,6.182735,https://www.pop.culture.gouv.fr/notice/merimee//PA00106216
Immeuble,"15 rue Héré
",48.694069,6.182692,https://www.pop.culture.gouv.fr/notice/merimee//PA00106217
